country,child_mort,income,gdpp,life_expec,KMeans_Cluster,DBSCAN_Cluster,Hierarchical_Cluster
Lesotho,99.7,2380,1170,46.5,1,-1,1
Liberia,89.3,700,327,60.8,1,-1,1
Libya,16.6,29600,12100,76.1,2,0,0
Lithuania,6.1,21100,12000,73.2,2,0,1
Luxembourg,2.8,91700,105000,81.3,0,-1,0
"Macedonia, FYR",10.4,11400,4540,74.0,2,0,1
Madagascar,62.2,1390,413,60.8,1,0,2
Malawi,90.5,1030,459,53.1,1,0,2
Malaysia,7.9,21100,9070,74.5,2,0,1
Maldives,13.2,10500,7100,77.9,2,0,1
Mali,137.0,1870,708,59.5,1,0,2
Malta,6.8,28300,21100,80.3,0,-1,0
Mauritania,97.4,3320,1200,68.2,1,0,1
Mauritius,15.0,15900,8000,73.4,2,0,1
"Micronesia, Fed. Sts.",40.0,3340,2860,65.4,2,-1,1
Moldova,17.2,3910,1630,69.7,2,0,1
Mongolia,26.1,7710,2650,66.2,2,-1,1
Montenegro,6.8,14000,6680,76.4,2,0,1
Morocco,33.5,6440,2830,73.5,2,0,1
Mozambique,101.0,918,419,54.5,1,0,2
Myanmar,64.4,3720,988,66.8,2,0,1
Namibia,56.0,8460,5190,58.6,1,0,1
Nepal,47.0,1990,592,68.3,2,0,1
Netherlands,4.5,45500,50300,80.7,0,0,0
New Zealand,6.2,32300,33700,80.9,0,0,0
Niger,123.0,814,348,58.8,1,0,2
Nigeria,130.0,5150,2330,60.5,1,-1,1
Norway,3.2,62300,87800,81.0,0,-1,0
Oman,11.7,45300,19300,76.1,2,0,0
Pakistan,92.1,4280,1040,65.3,1,0,1
Panama,19.7,15400,8080,77.8,2,0,1
Paraguay,24.1,7290,3230,74.1,2,0,1
Peru,20.3,9960,5020,77.9,2,0,1
Philippines,31.9,5600,2130,69.0,2,0,1
Poland,6.0,21800,12600,76.3,2,0,1
Portugal,3.9,27200,22500,79.8,0,0,0
Qatar,9.0,125000,70300,79.5,0,-1,0
Romania,11.5,17800,8230,73.7,2,0,1
Russia,10.0,23100,10700,69.2,2,0,1
Rwanda,63.6,1350,563,64.6,1,-1,2
Samoa,18.9,5400,3450,71.5,2,0,1
Saudi Arabia,15.7,45400,19300,75.1,2,0,0
Senegal,66.8,2180,1000,64.0,1,0,2
Serbia,7.6,12700,5410,74.7,2,0,1
Seychelles,14.4,20400,10800,73.4,2,-1,1
Sierra Leone,160.0,1220,399,55.0,1,-1,2
Singapore,2.8,72100,46600,82.7,0,-1,0
Slovak Republic,7.0,25200,16600,75.5,0,0,1
Slovenia,3.2,28700,23400,79.5,0,0,1
Solomon Islands,28.1,1780,1290,61.7,2,0,1
South Africa,53.7,12000,7280,54.3,1,-1,1
South Korea,4.1,30400,22100,80.1,0,0,1
Spain,3.8,32500,30700,81.9,0,0,0
Sri Lanka,11.2,8560,2810,74.4,2,0,1
St. Vincent and the Grenadines,20.7,9920,6230,71.6,2,0,1
Sudan,76.7,3370,1480,66.3,1,0,1
Suriname,24.1,14200,8300,70.3,2,0,1
Sweden,3.0,42900,52100,81.5,0,0,0
Switzerland,4.5,55500,74600,82.2,0,0,0
Tajikistan,52.4,2110,738,69.6,2,0,1
Tanzania,71.9,2090,702,59.3,1,0,2
Thailand,14.9,13500,5080,76.6,2,0,1
Timor-Leste,62.6,1850,3600,71.1,1,-1,1
Togo,90.3,1210,488,58.7,1,0,2
Tonga,17.4,4980,3550,69.9,2,0,1
Tunisia,17.4,10400,4140,76.9,2,0,1
Turkey,19.1,18000,10700,78.2,2,0,1
Turkmenistan,62.0,9940,4440,67.9,2,-1,1
Uganda,81.0,1540,595,56.8,1,0,2
Ukraine,11.7,7820,2970,70.4,2,0,1
United Arab Emirates,8.6,57600,35000,76.5,0,0,0
United Kingdom,5.2,36200,38900,80.3,0,0,0
United States,7.3,49400,48400,78.7,0,-1,0
Uruguay,10.6,17100,11900,76.4,2,0,1
Uzbekistan,36.3,4240,1380,68.8,2,0,1
Vanuatu,29.2,2950,2970,63.0,2,0,1
Venezuela,17.1,16500,13500,75.4,2,-1,1
Vietnam,23.3,4490,1310,73.1,2,0,1
Yemen,56.3,4480,1310,67.5,1,0,1
Zambia,83.1,3280,1460,52.0,1,0,2
